label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
A,0.0,0.0,0.0,-0.05846744775772095,-0.11686074733734131,-0.02113137776672147,-0.09369015693664551,-0.27079737186431885,-0.03430961268662713,-0.12188076972961426,-0.38914793729782104,-0.05131907957314752,-0.15250486135482788,-0.4794030636548996,-0.06175013827800058,-0.03911107778549194,-0.3794238567352295,0.0026161590527067347,-0.07027095556259155,-0.4708924889564514,-0.045033583517067655,-0.07160234451293945,-0.3570813238620758,-0.06670602234720491,-0.057187020778656006,-0.3127029240131378,-0.07421029182791017,0.007550477981567383,-0.35594862699508667,-0.0066567315784027414,-0.023662149906158447,-0.44775478541851044,-0.056976197386973126,-0.037588536739349365,-0.3071429431438446,-0.06119911941408418,-0.019185662269592285,-0.2787013649940491,-0.05127255442261003,0.0522196888923645,-0.3111039698123932,-0.02458548928319715,0.021725177764892578,-0.3824506103992462,-0.07420430156111024,-0.00024235248565673828,-0.2508094012737274,-0.05272475081204675,0.016150236129760742,-0.22470876574516296,-0.024563450465791448,0.0934799313545227,-0.2566606402397156,-0.045213053102486356,0.067241370677948,-0.31012797355651855,-0.06918888362764619,0.039554715156555176,-0.22754406929016113,-0.05044036554812692,0.047287583351135254,-0.19937452673912048,-0.029374776507609113
A,0.0,0.0,0.0,-0.06421148777008057,-0.10498803853988647,-0.020853066259974185,-0.1005096435546875,-0.24928387999534607,-0.03439510930513734,-0.12181311845779419,-0.36154547333717346,-0.052239283362382594,-0.14798897504806519,-0.45399434864521027,-0.06372400317525262,-0.03476470708847046,-0.3631358742713928,0.004260705875253734,-0.07051461935043335,-0.4311213046312332,-0.04733426813220376,-0.07951807975769043,-0.32734215259552,-0.06982648316954965,-0.06748169660568237,-0.2823326140642166,-0.07726516518926019,0.008796930313110352,-0.34451207518577576,-0.006552211848998013,-0.03134298324584961,-0.39908310770988464,-0.061917781272882166,-0.04823106527328491,-0.2683059722185135,-0.06643136535024041,-0.029214441776275635,-0.24818721413612366,-0.05532597322201127,0.049895405769348145,-0.3060673922300339,-0.027458695137852374,0.003367781639099121,-0.3319516181945801,-0.08187127057647103,-0.012998104095458984,-0.21023109555244446,-0.06528111491536492,0.007641613483428955,-0.19952017068862915,-0.04015767146086091,0.08798754215240479,-0.2570495307445526,-0.05124567020868653,0.04433739185333252,-0.26042622327804565,-0.08192551080321664,0.02680724859237671,-0.18244296312332153,-0.07182301525210733,0.04458951950073242,-0.1757550835609436,-0.0563254760596692
A,0.0,0.0,0.0,-0.044203996658325195,-0.09721148014068604,-0.019405401118604004,-0.06582802534103394,-0.2425224781036377,-0.028658057369796097,-0.08420073986053467,-0.3471641540527344,-0.04270919299921161,-0.1188652515411377,-0.4152301251888275,-0.05336254350146419,-0.022095918655395508,-0.3337886929512024,0.01165903658369416,-0.025280356407165527,-0.43799175322055817,-0.026220974319187462,-0.029149651527404785,-0.3601914048194885,-0.05234029404124385,-0.028793394565582275,-0.28989923000335693,-0.0632688615401662,0.018581092357635498,-0.32417747378349304,0.005888221047314346,0.02111530303955078,-0.4363257437944412,-0.03533878064951068,0.007732689380645752,-0.3301244080066681,-0.05114740393361217,0.005063056945800781,-0.2523270547389984,-0.050213235237208664,0.05980414152145386,-0.29545727372169495,-0.007139851611611903,0.0714903473854065,-0.4193854331970215,-0.0436664026161111,0.04884672164916992,-0.327945739030838,-0.03984908647140628,0.03838425874710083,-0.24922651052474976,-0.024791902669278443,0.10012125968933105,-0.2535414695739746,-0.02281044311126834,0.11533963680267334,-0.35107576847076416,-0.04254194609126216,0.09254294633865356,-0.31764745712280273,-0.03674998766979343,0.07736915349960327,-0.27383047342300415,-0.025285064049569428
A,0.0,0.0,0.0,-0.0476343035697937,-0.10766315460205078,-0.018531314087567807,-0.06250441074371338,-0.24956932663917542,-0.029005453912077428,-0.07555603981018066,-0.3504057228565216,-0.042337502343116284,-0.09385538101196289,-0.4293970912694931,-0.049625101489482404,0.026029109954833984,-0.3501725196838379,0.008259225646497725,-0.009634673595428467,-0.4103817492723465,-0.029058045697865964,-0.03524094820022583,-0.323153018951416,-0.0493194488710742,-0.03519052267074585,-0.27134883403778076,-0.057647976083217145,0.05737292766571045,-0.3188486099243164,0.001281605111898898,0.009814798831939697,-0.36597752571105957,-0.03520113880699682,-0.021997034549713135,-0.2621506452560425,-0.0387853076583724,-0.0080796480178833,-0.22815018892288208,-0.0323427198356967,0.08070731163024902,-0.26423180103302,-0.01379837001627493,0.03269559144973755,-0.3074182868003845,-0.050261075598655225,-0.0013990998268127441,-0.21737033128738403,-0.034850548011718274,0.013981103897094727,-0.1874447464942932,-0.014956641932485581,0.09606951475143433,-0.19678610563278198,-0.031779243601022245,0.056588709354400635,-0.23469340801239014,-0.05107119212811995,0.026136398315429688,-0.18517106771469116,-0.03901525492733526,0.03564321994781494,-0.15917682647705078,-0.024008817029653073
A,0.0,0.0,0.0,-0.041910529136657715,-0.11011385917663574,-0.02194651656697033,-0.058187007904052734,-0.240525484085083,-0.03290970877657173,-0.06994938850402832,-0.3457147479057312,-0.049027173527576906,-0.09420257806777954,-0.4294273108243942,-0.06225978092203377,-0.02313971519470215,-0.33813469111919403,0.017909906125566977,-0.02656543254852295,-0.4436234384775162,-0.022668956526615602,-0.027807295322418213,-0.4046005308628082,-0.056181977250673754,-0.02685469388961792,-0.3422955572605133,-0.07210193083534477,0.016728341579437256,-0.3330288231372833,0.012505141339204329,0.018265366554260254,-0.46226659417152405,-0.02970704504201649,0.006625056266784668,-0.3913818895816803,-0.057656894185640795,0.0035924911499023438,-0.31069977581501007,-0.06672369942913292,0.05754882097244263,-0.3119085133075714,-0.0008931052093998915,0.06833809614181519,-0.441484197974205,-0.03778524205932854,0.04659754037857056,-0.3902629464864731,-0.05124696225772141,0.03444361686706543,-0.3118206560611725,-0.04919532940635918,0.09917998313903809,-0.27554988861083984,-0.017200520941116793,0.11419588327407837,-0.38025255501270294,-0.03770211965689896,0.09290790557861328,-0.37498027086257935,-0.043424538084366304,0.07344871759414673,-0.3318093717098236,-0.04175110042939423
A,0.0,0.0,0.0,-0.05147057771682739,-0.04565787315368652,-0.04650154887551139,-0.08601981401443481,-0.13855499029159546,-0.07749852343314956,-0.11202919483184814,-0.20742303133010864,-0.10633588387483428,-0.1462996006011963,-0.2569044232368469,-0.129568694074095,-0.04697054624557495,-0.28048452734947205,-0.05390067203754256,-0.07854694128036499,-0.32408392429351807,-0.11927559777015517,-0.08136361837387085,-0.22793671488761902,-0.1501827816557295,-0.07206976413726807,-0.17725592851638794,-0.1605072300028212,-0.006857156753540039,-0.2680886387825012,-0.05315535320752929,-0.03776109218597412,-0.302961528301239,-0.11949082269185851,-0.048294782638549805,-0.1809009611606598,-0.1276387999843962,-0.03474628925323486,-0.14834797382354736,-0.11882256521695922,0.0345650315284729,-0.23795974254608154,-0.061985017646492224,0.015833795070648193,-0.27266156673431396,-0.12769178851360152,-0.003432154655456543,-0.1620553731918335,-0.11516040368789504,0.001583397388458252,-0.1246461272239685,-0.09014665885680984,0.07539457082748413,-0.19949853420257568,-0.07473801626676391,0.07769227027893066,-0.246240496635437,-0.11643721713537047,0.05062687397003174,-0.18108627200126648,-0.10889190240615676,0.03877091407775879,-0.14514636993408203,-0.09254980637544463
A,0.0,0.0,0.0,-0.040215373039245605,-0.10859206318855286,-0.009603091771566596,-0.05322861671447754,-0.2258780151605606,-0.012658336455785957,-0.05939894914627075,-0.3219148814678192,-0.021668879571222988,-0.07422739267349243,-0.39675016701221466,-0.027840418997072902,-0.018994629383087158,-0.28438058495521545,0.029934374359584126,-0.016791164875030518,-0.3656865507364273,0.003722576401344213,-0.023568332195281982,-0.33343029022216797,-0.01892292525138828,-0.02811795473098755,-0.28065353631973267,-0.029237872245573726,0.013571858406066895,-0.2786215841770172,0.02405333307120827,0.01679837703704834,-0.3767733573913574,-0.003152594459095326,0.0024389028549194336,-0.3285363167524338,-0.022481808694863048,-0.0019249320030212402,-0.2639797180891037,-0.02850868764784309,0.04687631130218506,-0.2596285194158554,0.011842969549036297,0.05867856740951538,-0.3621377497911453,-0.012913227337264743,0.03826749324798584,-0.33083631098270416,-0.022148974495792118,0.02711665630340576,-0.2694137394428253,-0.020029315980934825,0.08149677515029907,-0.22824516892433167,-0.002150518842825022,0.0986066460609436,-0.31218796968460083,-0.014930662955009666,0.08070677518844604,-0.32440324127674103,-0.01869600105550262,0.062114715576171875,-0.2994086742401123,-0.017048908653521266
A,0.0,0.0,0.0,-0.055314719676971436,-0.09552976489067078,-0.008462432218436788,-0.0801922082901001,-0.22622868418693542,-0.014037925196532797,-0.09383678436279297,-0.3274911046028137,-0.02691850103968818,-0.11798715591430664,-0.4084664136171341,-0.03629443087214668,-0.04153478145599365,-0.3146460950374603,0.012933303224201609,-0.04894888401031494,-0.42122574150562286,-0.02283828184539516,-0.06887051463127136,-0.3497154414653778,-0.04530368038052757,-0.07082846760749817,-0.28097155690193176,-0.05473130979174812,-0.012800872325897217,-0.30470266938209534,0.0003647775161539357,-0.018470436334609985,-0.423034206032753,-0.04100599922770698,-0.047832369804382324,-0.32493215799331665,-0.05632203855151374,-0.05008307099342346,-0.24708053469657898,-0.05629588701361854,0.014587461948394775,-0.28089967370033264,-0.018874563654605936,0.019263923168182373,-0.4052853286266327,-0.052401978900377344,-0.015935271978378296,-0.3336540013551712,-0.05518117584819038,-0.027352720499038696,-0.26040852069854736,-0.04748446532124717,0.04432392120361328,-0.24494826793670654,-0.04009701349372108,0.059377968311309814,-0.34456783533096313,-0.058075264474098276,0.02832317352294922,-0.3296854943037033,-0.06055432968372543,0.0063918232917785645,-0.29120972752571106,-0.057720654090587686
A,0.0,0.0,0.0,-0.04297637939453125,-0.11223125457763672,-0.018063343641529173,-0.055757105350494385,-0.24774318933486938,-0.025704605085024923,-0.0583193302154541,-0.3558792471885681,-0.03915288071073064,-0.0726923942565918,-0.44882744550704956,-0.04860052610672483,-0.013059437274932861,-0.33739468455314636,0.019167883741488367,-0.010382771492004395,-0.4405125081539154,-0.017942292195925802,-0.014697909355163574,-0.37379568815231323,-0.04651616658009061,-0.01632368564605713,-0.30180034041404724,-0.059105095965037435,0.024111568927764893,-0.32370465993881226,0.013426679606368452,0.026993870735168457,-0.43892763555049896,-0.025888459337124914,0.009639322757720947,-0.3462214469909668,-0.04719644929207334,0.0054274797439575195,-0.26535362005233765,-0.051664234650502294,0.06107264757156372,-0.2961314618587494,1.9396218362999207e-05,0.07647758722305298,-0.42666977643966675,-0.03528521726764211,0.05049121379852295,-0.3591361939907074,-0.04146332810557851,0.03671860694885254,-0.27802807092666626,-0.03419705624617109,0.09901565313339233,-0.254294753074646,-0.016003258106479734,0.12339454889297485,-0.3597639799118042,-0.03630671421922216,0.09881669282913208,-0.34991782903671265,-0.038535425019631475,0.07545965909957886,-0.306424081325531,-0.033646678132186025
A,0.0,0.0,0.0,-0.07173958420753479,-0.08784306049346924,-0.02639927212311477,-0.12298625707626343,-0.21798229217529297,-0.04185025077475757,-0.15251576900482178,-0.3260231912136078,-0.06234133299602718,-0.17046669125556946,-0.4322361499071121,-0.07834248300804347,-0.08389362692832947,-0.3532618433237076,-0.0012024285753682307,-0.10977402329444885,-0.4553309231996536,-0.051927991771833604,-0.1173848807811737,-0.36833882331848145,-0.08525399174703807,-0.11129650473594666,-0.2906879782676697,-0.09998101052059383,-0.04248398542404175,-0.3557523488998413,-0.009132762999968236,-0.0667087733745575,-0.47869305312633514,-0.06657004412426204,-0.08321765065193176,-0.35253189504146576,-0.09014047738327235,-0.07775503396987915,-0.2581346929073334,-0.09245298858894557,0.0006650388240814209,-0.33852213621139526,-0.02587693985714168,-0.012312740087509155,-0.47419410943984985,-0.07944265809072704,-0.038761913776397705,-0.36583322286605835,-0.08632598128332347,-0.0439227819442749,-0.26685911417007446,-0.0752281775714323,0.047160714864730835,-0.3037327229976654,-0.045219034516946977,0.05001351237297058,-0.41896645724773407,-0.08011080380691737,0.02215161919593811,-0.38115599751472473,-0.0854762723685667,0.0032573938369750977,-0.3198854625225067,-0.0799291064979002
